major,major_category,total,men,women,sharewomen,employed,unemployed,unemployment_rate,college_jobs,noncollege_jobs,rate_noncollege_jobs,rate_college_jobs,sharemen
"PETROLEUM ENGINEERING",Engineering,2339,2057,282,0.1206,1976,37,0.0184,1534,364,0.1556,0.6558,0.8794
"MINING AND MINERAL ENGINEERING",Engineering,756,679,77,0.1019,640,85,0.1172,350,257,0.3399,0.4630,0.8981
"METALLURGICAL ENGINEERING",Engineering,856,725,131,0.1530,648,16,0.0241,456,176,0.2056,0.5327,0.8470
"NAVAL ARCHITECTURE AND MARINE ENGINEERING",Engineering,1258,1123,135,0.1073,758,40,0.0501,529,102,0.0811,0.4205,0.8927
"CHEMICAL ENGINEERING",Engineering,32260,21239,11021,0.3416,25694,1672,0.0611,18314,4440,0.1376,0.5677,0.6584
"NUCLEAR ENGINEERING",Engineering,2573,2200,373,0.1450,1857,400,0.1772,1142,657,0.2553,0.4438,0.8550
"ACTUARIAL SCIENCE",Business,3777,2110,1667,0.4414,2912,308,0.0957,1768,314,0.0831,0.4681,0.5586
"MECHANICAL ENGINEERING",Engineering,91227,80320,10907,0.1196,76442,4650,0.0573,52844,16384,0.1796,0.5793,0.8804
"ELECTRICAL ENGINEERING",Engineering,81527,65511,16016,0.1965,61928,3895,0.0592,45829,10874,0.1334,0.5621,0.8035
"COMPUTER ENGINEERING",Engineering,41542,33258,8284,0.1994,32506,2275,0.0654,23694,5721,0.1377,0.5704,0.8006
"AEROSPACE ENGINEERING",Engineering,15058,12953,2105,0.1398,11391,794,0.0652,8184,2425,0.1610,0.5435,0.8602
"BIOMEDICAL ENGINEERING",Engineering,14955,8407,6548,0.4378,10047,1019,0.0921,6439,2471,0.1652,0.4306,0.5622
"MATERIALS SCIENCE",Engineering,4279,2949,1330,0.3108,3307,78,0.0230,2626,391,0.0914,0.6137,0.6892
"ENGINEERING MECHANICS PHYSICS AND SCIENCE",Engineering,4321,3526,795,0.1840,3608,23,0.0063,2439,947,0.2192,0.5645,0.8160
"BIOLOGICAL ENGINEERING",Engineering,8925,6062,2863,0.3208,6170,589,0.0871,3603,1595,0.1787,0.4037,0.6792
"INDUSTRIAL AND MANUFACTURING ENGINEERING",Engineering,18968,12453,6515,0.3435,15604,699,0.0429,8306,3235,0.1706,0.4379,0.6565
"GENERAL ENGINEERING",Engineering,61152,45683,15469,0.2530,44931,2859,0.0598,26898,11734,0.1919,0.4399,0.7470
"ARCHITECTURAL ENGINEERING",Engineering,2825,1835,990,0.3504,2575,170,0.0619,1665,649,0.2297,0.5894,0.6496
"COURT REPORTING","Law & Public Policy",1148,877,271,0.2361,930,11,0.0117,402,528,0.4599,0.3502,0.7639
"COMPUTER SCIENCE","Computers & Mathematics",128319,99743,28576,0.2227,102087,6884,0.0632,68622,25667,0.2000,0.5348,0.7773
"ELECTRICAL ENGINEERING TECHNOLOGY",Engineering,11565,8181,3384,0.2926,8587,824,0.0876,5126,2686,0.2323,0.4432,0.7074
"MATERIALS ENGINEERING AND MATERIALS SCIENCE",Engineering,2993,2020,973,0.3251,2449,70,0.0278,1911,305,0.1019,0.6385,0.6749
"MANAGEMENT INFORMATION SYSTEMS AND STATISTICS",Business,18713,13496,5217,0.2788,16413,1015,0.0582,6342,5741,0.3068,0.3389,0.7212
"CIVIL ENGINEERING",Engineering,53153,41081,12072,0.2271,43041,3270,0.0706,28526,9356,0.1760,0.5367,0.7729
"CONSTRUCTION SERVICES","Industrial Arts & Consumer Services",18498,16820,1678,0.0907,16318,1042,0.0600,3275,5351,0.2893,0.1770,0.9093
"OPERATIONS LOGISTICS AND E-COMMERCE",Business,11732,7921,3811,0.3248,10027,504,0.0479,1466,3629,0.3093,0.1250,0.6752
"MISCELLANEOUS ENGINEERING",Engineering,9133,7398,1735,0.1900,7428,597,0.0744,3445,2426,0.2656,0.3772,0.8100
"PUBLIC POLICY","Law & Public Policy",5978,2639,3339,0.5585,4547,670,0.1284,1550,1871,0.3130,0.2593,0.4415
"ENVIRONMENTAL ENGINEERING",Engineering,4047,2662,1385,0.3422,2983,308,0.0936,2028,830,0.2051,0.5011,0.6578
"ENGINEERING TECHNOLOGIES",Engineering,3600,2695,905,0.2514,2799,163,0.0550,1017,1269,0.3525,0.2825,0.7486
"MISCELLANEOUS FINE ARTS",Arts,3340,1970,1370,0.4102,2914,286,0.0894,693,1714,0.5132,0.2075,0.5898
"GEOLOGICAL AND GEOPHYSICAL ENGINEERING",Engineering,720,488,232,0.3222,604,49,0.0750,501,50,0.0694,0.6958,0.6778
NURSING,Health,209394,21773,187621,0.8960,180903,8497,0.0449,151643,26146,0.1249,0.7242,0.1040
FINANCE,Business,174506,115030,59476,0.3408,145696,9413,0.0607,24243,48447,0.2776,0.1389,0.6592
ECONOMICS,"Social Science",139247,89749,49498,0.3555,104117,11452,0.0991,25582,37057,0.2661,0.1837,0.6445
"BUSINESS ECONOMICS",Business,13302,7575,5727,0.4305,10914,1165,0.0964,1578,4612,0.3467,0.1186,0.5695
"INDUSTRIAL PRODUCTION TECHNOLOGIES",Engineering,4631,3477,1154,0.2492,4428,129,0.0283,1394,2454,0.5299,0.3010,0.7508
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES","Physical Sciences",2116,528,1588,0.7505,1778,137,0.0715,162,1475,0.6971,0.0766,0.2495
ACCOUNTING,Business,198633,94519,104114,0.5242,165527,12411,0.0697,11417,39323,0.1980,0.0575,0.4758
MATHEMATICS,"Computers & Mathematics",72397,39956,32441,0.4481,58118,2884,0.0473,34800,14829,0.2048,0.4807,0.5519
"COMPUTER AND INFORMATION SYSTEMS","Computers & Mathematics",36698,27392,9306,0.2536,28459,2934,0.0935,13344,11783,0.3211,0.3636,0.7464
PHYSICS,"Physical Sciences",32142,23080,9062,0.2819,25302,1282,0.0482,18674,4576,0.1424,0.5810,0.7181
"MEDICAL TECHNOLOGIES TECHNICIANS",Health,15914,3916,11998,0.7539,13150,505,0.0370,5546,7176,0.4509,0.3485,0.2461
"INFORMATION SCIENCES","Computers & Mathematics",11913,9005,2908,0.2441,9881,639,0.0607,4390,4102,0.3443,0.3685,0.7559
"STATISTICS AND DECISION SCIENCE","Computers & Mathematics",6251,2960,3291,0.5265,4247,401,0.0863,2298,1200,0.1920,0.3676,0.4735
"APPLIED MATHEMATICS","Computers & Mathematics",4939,2794,2145,0.4343,3854,385,0.0908,2437,803,0.1626,0.4934,0.5657
PHARMACOLOGY,"Biology & Life Science",1762,515,1247,0.7077,1144,107,0.0855,603,478,0.2713,0.3422,0.2923
OCEANOGRAPHY,"Physical Sciences",2418,752,1666,0.6890,1638,99,0.0570,459,996,0.4119,0.1898,0.3110
"ENGINEERING AND INDUSTRIAL MANAGEMENT",Engineering,2906,2400,506,0.1741,2125,74,0.0337,482,844,0.2904,0.1659,0.8259
"MEDICAL ASSISTING SERVICES",Health,11123,803,10320,0.9278,9168,407,0.0425,2091,6948,0.6247,0.1880,0.0722
"MATHEMATICS AND COMPUTER SCIENCE","Computers & Mathematics",609,500,109,0.1790,559,0,0.0000,452,67,0.1100,0.7422,0.8210
"COMPUTER PROGRAMMING AND DATA PROCESSING","Computers & Mathematics",4168,3046,1122,0.2692,3257,419,0.1140,2024,1033,0.2478,0.4856,0.7308
"COGNITIVE SCIENCE AND BIOPSYCHOLOGY","Biology & Life Science",3831,1667,2164,0.5649,2741,223,0.0752,1369,921,0.2404,0.3573,0.4351
"SCHOOL STUDENT COUNSELING",Education,818,119,699,0.8545,730,88,0.1076,509,221,0.2702,0.6222,0.1455
"INTERNATIONAL RELATIONS","Social Science",28187,10345,17842,0.6330,21190,2271,0.0968,6774,9570,0.3395,0.2403,0.3670
"GENERAL BUSINESS",Business,234590,132238,102352,0.4363,190183,14946,0.0729,29334,100831,0.4298,0.1250,0.5637
ARCHITECTURE,Engineering,46420,25463,20957,0.4515,34158,4366,0.1133,16178,13724,0.2956,0.3485,0.5485
"INTERNATIONAL BUSINESS",Business,25894,10624,15270,0.5897,19660,2092,0.0962,3383,9482,0.3662,0.1306,0.4103
"PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION",Health,23551,8697,14854,0.6307,16620,977,0.0555,11573,4493,0.1908,0.4914,0.3693
"MOLECULAR BIOLOGY","Biology & Life Science",18300,7426,10874,0.5942,11581,1067,0.0844,7225,3145,0.1719,0.3948,0.4058
"MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION",Business,17947,10285,7662,0.4269,14826,1150,0.0720,2236,8937,0.4980,0.1246,0.5731
"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",14240,9658,4582,0.3218,12323,649,0.0500,1925,6221,0.4369,0.1352,0.6782
"GENERAL AGRICULTURE","Agriculture & Natural Resources",10399,6053,4346,0.4179,8884,178,0.0196,2418,4717,0.4536,0.2325,0.5821
"MISCELLANEOUS ENGINEERING TECHNOLOGIES",Engineering,8804,7043,1761,0.2000,7502,416,0.0525,2446,3896,0.4425,0.2778,0.8000
"MECHANICAL ENGINEERING RELATED TECHNOLOGIES",Engineering,4790,4419,371,0.0775,4186,250,0.0564,1861,2121,0.4428,0.3885,0.9225
GENETICS,"Biology & Life Science",3635,1761,1874,0.5155,2463,87,0.0341,1675,678,0.1865,0.4608,0.4845
"MISCELLANEOUS SOCIAL SCIENCES","Social Science",3283,1499,1784,0.5434,2727,215,0.0731,744,1654,0.5038,0.2266,0.4566
"UNITED STATES HISTORY","Humanities & Liberal Arts",3079,1756,1323,0.4297,2787,138,0.0472,801,1591,0.5167,0.2601,0.5703
"INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY","Psychology & Social Work",3014,1075,1939,0.6433,2343,286,0.1088,559,1224,0.4061,0.1855,0.3567
"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",2439,1749,690,0.2829,2174,182,0.0772,535,893,0.3661,0.2194,0.7171
"PHYSICAL SCIENCES","Physical Sciences",1436,894,542,0.3774,1146,42,0.0354,530,465,0.3238,0.3691,0.6226
CHEMISTRY,"Physical Sciences",66530,32923,33607,0.5051,48535,2769,0.0540,30382,14718,0.2212,0.4567,0.4949
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION","Industrial Arts & Consumer Services",2435,1869,566,0.2324,2107,64,0.0295,221,1659,0.6813,0.0908,0.7676
"BUSINESS MANAGEMENT AND ADMINISTRATION",Business,329927,173809,156118,0.4732,276234,21502,0.0722,36720,148395,0.4498,0.1113,0.5268
"MARKETING AND MARKETING RESEARCH",Business,205211,78857,126354,0.6157,178862,11663,0.0612,25320,93889,0.4575,0.1234,0.3843
"POLITICAL SCIENCE AND GOVERNMENT","Social Science",182621,93880,88741,0.4859,133454,15022,0.1012,36854,66947,0.3666,0.2018,0.5141
GEOGRAPHY,"Social Science",18480,11404,7076,0.3829,14057,1799,0.1135,5350,6830,0.3696,0.2895,0.6171
MICROBIOLOGY,"Biology & Life Science",15232,6383,8849,0.5809,9685,693,0.0668,5577,3174,0.2084,0.3661,0.4191
"COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY","Computers & Mathematics",8066,6607,1459,0.1809,6509,721,0.0997,2354,3244,0.4022,0.2918,0.8191
"BIOCHEMICAL SCIENCES","Biology & Life Science",39107,18951,20156,0.5154,25678,2249,0.0805,15654,8394,0.2146,0.4003,0.4846
BOTANY,"Biology & Life Science",1329,626,703,0.5290,1010,0,0.0000,677,184,0.1384,0.5094,0.4710
"COMPUTER NETWORKING AND TELECOMMUNICATIONS","Computers & Mathematics",7613,5291,2322,0.3050,6144,1100,0.1518,2593,2941,0.3863,0.3406,0.6950
"GEOLOGY AND EARTH SCIENCE","Physical Sciences",10972,5813,5159,0.4702,8296,677,0.0754,4858,2792,0.2545,0.4428,0.5298
"HUMAN RESOURCES AND PERSONNEL MANAGEMENT",Business,24497,6184,18313,0.7476,20760,1315,0.0596,2406,9629,0.3931,0.0982,0.2524
"PRE-LAW AND LEGAL STUDIES","Law & Public Policy",13528,4435,9093,0.6722,9762,757,0.0720,2002,6454,0.4771,0.1480,0.3278
"MISCELLANEOUS HEALTH MEDICAL PROFESSIONS",Health,13386,1589,11797,0.8813,10076,893,0.0814,5652,3835,0.2865,0.4222,0.1187
"PUBLIC ADMINISTRATION","Law & Public Policy",5629,2947,2682,0.4765,4158,789,0.1595,919,2313,0.4109,0.1633,0.5235
GEOSCIENCES,"Physical Sciences",1978,809,1169,0.5910,1441,36,0.0244,784,591,0.2988,0.3964,0.4090
"SOCIAL PSYCHOLOGY","Psychology & Social Work",1386,413,973,0.7020,1080,33,0.0296,434,593,0.4278,0.3131,0.2980
"ENVIRONMENTAL SCIENCE","Biology & Life Science",25965,10787,15178,0.5846,20859,1779,0.0786,8149,10076,0.3881,0.3138,0.4154
COMMUNICATIONS,"Communications & Journalism",213996,70619,143377,0.6700,179633,14602,0.0752,40763,97964,0.4578,0.1905,0.3300
"CRIMINAL JUSTICE AND FIRE PROTECTION","Law & Public Policy",152824,80231,72593,0.4750,125393,11268,0.0825,24348,88858,0.5814,0.1593,0.5250
"COMMERCIAL ART AND GRAPHIC DESIGN",Arts,103480,32041,71439,0.6904,83483,8947,0.0968,37389,38119,0.3684,0.3613,0.3096
JOURNALISM,"Communications & Journalism",72619,23736,48883,0.6731,61022,4535,0.0692,23279,26672,0.3673,0.3206,0.3269
"MULTI-DISCIPLINARY OR GENERAL SCIENCE","Physical Sciences",62052,27015,35037,0.5646,46138,2727,0.0558,17923,22039,0.3552,0.2888,0.4354
"ADVERTISING AND PUBLIC RELATIONS","Communications & Journalism",53162,12862,40300,0.7581,45326,3305,0.0680,9659,23059,0.4337,0.1817,0.2419
"AREA ETHNIC AND CIVILIZATION STUDIES","Humanities & Liberal Arts",31195,8739,22456,0.7199,24629,1668,0.0634,8465,11818,0.3788,0.2714,0.2801
"SPECIAL NEEDS EDUCATION",Education,28739,2682,26057,0.9067,24639,1067,0.0415,20185,3797,0.1321,0.7024,0.0933
